Campaign performance
"October 22, 2025 - April 23, 2026"
Campaign,Campaign state,Campaign type,Day,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Search impr. share,Search lost IS (rank),Search lost IS (budget)
Sales-Search-1,Enabled,Search,2026-03-26,11,94,11.70%,USD,9.23,101.58,10.45%,80.60%,2.00,0,50.79,18.18%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-04-02,11,136,8.09%,USD,8.39,92.30,20.00%,87.00%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-04-09,11,171,6.43%,USD,6.11,67.20,15.50%,83.72%,0.50,0,134.39,4.55%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-04-17,11,236,4.66%,USD,9.99,109.94,31.82%,85.71%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-04-23,11,125,8.80%,USD,8.13,89.42,20.22%,80.90%,1.00,0,89.42,9.09%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-27,10,110,9.09%,USD,12.40,123.99,18.07%,73.49%,0.00,0,0,0.00%,11.08%,88.92%,0.00%
Sales-Search-1,Enabled,Search,2025-12-19,10,251,3.98%,USD,6.89,68.90,18.23%,75.69%,1.00,0,68.90,10.00%,13.16%,86.84%,0.00%
Sales-Search-1,Enabled,Search,2025-12-26,10,134,7.46%,USD,6.55,65.49,17.65%,74.51%,2.00,0,32.74,20.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-01-08,10,210,4.76%,USD,7.19,71.89,18.47%,61.15%,2.00,0,35.94,20.00%,12.15%,87.85%,0.00%
Sales-Search-1,Enabled,Search,2026-01-12,10,152,6.58%,USD,8.79,87.85,14.78%,71.30%,2.00,0,43.93,20.00%,17.45%,82.55%,0.00%
Sales-Search-1,Enabled,Search,2026-01-13,10,145,6.90%,USD,5.02,50.19,15.09%,70.75%,15.00,0,3.35,150.00%,34.42%,65.58%,0.00%
Sales-Search-1,Enabled,Search,2026-01-28,10,92,10.87%,USD,9.63,96.30,13.04%,81.16%,2.00,0,48.15,20.00%,16.20%,83.80%,0.00%
Sales-Search-1,Enabled,Search,2026-01-30,10,94,10.64%,USD,7.11,71.08,11.43%,80.00%,0.00,0,0,0.00%,18.00%,82.00%,0.00%
Sales-Search-1,Enabled,Search,2026-02-27,10,62,16.13%,USD,7.40,73.98,18.00%,78.00%,0.00,0,0,0.00%,17.16%,82.84%,0.00%
Sales-Search-1,Enabled,Search,2026-03-03,10,88,11.36%,USD,7.68,76.81,13.64%,87.88%,0.00,0,0,0.00%,18.03%,81.97%,0.00%
Sales-Search-1,Enabled,Search,2026-03-15,10,53,18.87%,USD,9.87,98.72,12.77%,89.36%,1.00,0,98.72,10.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-04-10,10,161,6.21%,USD,10.60,105.98,22.31%,83.47%,2.00,0,52.99,20.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-08,9,91,9.89%,USD,8.11,73.01,21.13%,71.83%,1.00,0,73.01,11.11%,11.31%,88.69%,0.00%
Sales-Search-1,Enabled,Search,2025-11-11,9,91,9.89%,USD,7.04,63.37,11.84%,77.63%,1.00,0,63.37,11.11%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-18,9,139,6.47%,USD,3.11,27.95,10.91%,76.36%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-29,9,94,9.57%,USD,9.69,87.23,21.33%,73.33%,0.00,0,0,0.00%,10.20%,89.80%,0.00%
Sales-Search-1,Enabled,Search,2025-12-08,9,200,4.50%,USD,7.04,63.32,12.20%,81.10%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-12-12,9,116,7.76%,USD,4.60,41.36,6.59%,70.33%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-12-27,9,115,7.83%,USD,7.29,65.58,14.44%,82.22%,1.00,0,65.58,11.11%,10.79%,89.21%,0.00%
Sales-Search-1,Enabled,Search,2026-02-09,9,71,12.68%,USD,8.82,79.42,3.57%,85.71%,1.56,0,50.94,17.32%,13.54%,86.46%,0.00%
Sales-Search-1,Enabled,Search,2026-02-16,9,131,6.87%,USD,10.54,94.90,8.82%,86.27%,0.00,0,0,0.00%,23.08%,76.92%,0.00%
Sales-Search-1,Enabled,Search,2026-02-21,9,62,14.52%,USD,6.84,61.52,23.91%,84.78%,0.00,0,0,0.00%,24.35%,75.65%,0.00%
Sales-Search-1,Enabled,Search,2026-03-23,9,86,10.47%,USD,7.31,65.77,11.94%,83.58%,1.00,0,65.77,11.11%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-04-12,9,68,13.24%,USD,10.66,95.97,15.79%,78.95%,1.00,0,95.97,11.11%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-04-18,9,114,7.89%,USD,9.65,86.84,21.69%,84.34%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
