campaign.name,campaign.status,ad_group.name,ad_group.status,ad_group_criterion.criterion_id,ad_group_criterion.status,ad_group_criterion.system_serving_status,ad_group_criterion.negative,ad_group_criterion.cpc_bid_micros,ad_group_criterion.effective_cpc_bid_micros,ad_group_criterion.keyword.text,ad_group_criterion.keyword.match_type,ad_group_criterion.approval_status
02_Professions_NY,PAUSED,MHC-LMHC,ENABLED,2683950755032,ENABLED,RARELY_SERVED,False,0,10000,mhc pllc new york,EXACT,APPROVED
02_Professions_NY,PAUSED,Nurse-Practitioners,ENABLED,2489071488620,ENABLED,ELIGIBLE,False,0,10000,nurse practitioner pllc new york,EXACT,APPROVED
02_Professions_NY,PAUSED,Nurse-Practitioners,ENABLED,2490409254159,ENABLED,RARELY_SERVED,False,0,10000,np pllc ny,EXACT,APPROVED
02_Professions_NY,PAUSED,Nurse-Practitioners,ENABLED,2492178405743,ENABLED,ELIGIBLE,False,0,10000,psychiatric nurse practitioner pllc,EXACT,APPROVED
02_Professions_NY,PAUSED,Physical-Therapy,ENABLED,2277436104174,ENABLED,ELIGIBLE,False,0,10000,physical therapy pllc new york,EXACT,APPROVED
02_Professions_NY,PAUSED,Physical-Therapy,ENABLED,2490422198309,ENABLED,RARELY_SERVED,False,0,10000,pt pllc ny,EXACT,APPROVED
02_Professions_NY,PAUSED,Physicians,ENABLED,2489071441820,ENABLED,ELIGIBLE,False,0,10000,medical pllc new york,EXACT,APPROVED
02_Professions_NY,PAUSED,Physicians,ENABLED,2490181677310,ENABLED,ELIGIBLE,False,0,10000,md pllc ny,EXACT,APPROVED
02_Professions_NY,PAUSED,Physicians,ENABLED,2490824510333,ENABLED,ELIGIBLE,False,0,10000,physician pllc,EXACT,APPROVED
02_Professions_NY,PAUSED,Physicians,ENABLED,2492157605673,ENABLED,ELIGIBLE,False,0,10000,medical practice pllc new york,EXACT,APPROVED
02_Professions_NY,PAUSED,Physicians,ENABLED,2492157863033,ENABLED,RARELY_SERVED,False,0,10000,pllc for doctors new york,EXACT,APPROVED
02_Professions_NY,PAUSED,Psychology,ENABLED,2492465261210,ENABLED,ELIGIBLE,False,0,10000,psychology pllc ny,EXACT,APPROVED
02_Professions_NY,PAUSED,Psychology,ENABLED,2557177247477,ENABLED,RARELY_SERVED,False,0,10000,psychologist pllc new york,EXACT,APPROVED
02_Professions_NY,PAUSED,Therapists-LCSW,ENABLED,895917435326,ENABLED,ELIGIBLE,False,0,10000,lcsw pllc,EXACT,APPROVED
02_Professions_NY,PAUSED,Therapists-LCSW,ENABLED,2424457924993,ENABLED,ELIGIBLE,False,0,10000,pllc for therapists,EXACT,APPROVED
02_Professions_NY,PAUSED,Therapists-LCSW,ENABLED,2492155472793,ENABLED,RARELY_SERVED,False,0,10000,social worker pllc ny,EXACT,APPROVED
02_Professions_NY,PAUSED,Therapists-LCSW,ENABLED,2492155472873,ENABLED,RARELY_SERVED,False,0,10000,private practice pllc new york,PHRASE,APPROVED
02_Professions_NY,PAUSED,Therapists-LCSW,ENABLED,2492157883833,ENABLED,RARELY_SERVED,False,0,10000,pllc for lcsw,EXACT,APPROVED
02_Professions_NY,PAUSED,Therapists-LCSW,ENABLED,2492348451516,ENABLED,RARELY_SERVED,False,0,10000,lcsw pllc new york,EXACT,APPROVED
02_Professions_NY,PAUSED,Therapists-LCSW,ENABLED,2495437983501,ENABLED,ELIGIBLE,False,0,10000,therapist pllc new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Connecticut,ENABLED,2490700589494,ENABLED,RARELY_SERVED,False,0,10000,connecticut pllc new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Connecticut,ENABLED,2491142320761,ENABLED,RARELY_SERVED,False,0,10000,ct pllc new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Connecticut,ENABLED,2491516529651,ENABLED,RARELY_SERVED,False,0,10000,register connecticut pllc in new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Connecticut,ENABLED,2492159718953,ENABLED,RARELY_SERVED,False,0,10000,connecticut pllc doing business in new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Florida,ENABLED,2492348558076,ENABLED,RARELY_SERVED,False,0,10000,fl pllc new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Florida,ENABLED,2492818399800,ENABLED,RARELY_SERVED,False,0,10000,register florida pllc in new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Florida,ENABLED,2494290487617,ENABLED,RARELY_SERVED,False,0,10000,florida pllc new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Florida,ENABLED,2546555949087,ENABLED,RARELY_SERVED,False,0,10000,florida pllc doing business in new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Generic-ForeignQual,ENABLED,541566333743,ENABLED,ELIGIBLE,False,0,10000,foreign qualification new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Generic-ForeignQual,ENABLED,612269320465,ENABLED,ELIGIBLE,False,0,10000,foreign qualification ny,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Generic-ForeignQual,ENABLED,2199111885824,ENABLED,ELIGIBLE,False,0,10000,ny application for authority,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Generic-ForeignQual,ENABLED,2488975029582,ENABLED,RARELY_SERVED,False,0,10000,out of state pllc new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Generic-ForeignQual,ENABLED,2490183348910,ENABLED,RARELY_SERVED,False,0,10000,qualify pllc in new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Generic-ForeignQual,ENABLED,2491514737891,ENABLED,RARELY_SERVED,False,0,10000,ca pllc doing business in new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Generic-ForeignQual,ENABLED,2492801816635,ENABLED,RARELY_SERVED,False,0,10000,application for authority new york pllc,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Generic-ForeignQual,ENABLED,2492818073000,ENABLED,RARELY_SERVED,False,0,10000,register out of state pllc in new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Generic-ForeignQual,ENABLED,2492818510960,ENABLED,RARELY_SERVED,False,0,10000,california pllc new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Generic-ForeignQual,ENABLED,2494290391417,ENABLED,RARELY_SERVED,False,0,10000,foreign pllc new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Generic-ForeignQual,ENABLED,2494290532537,ENABLED,RARELY_SERVED,False,0,10000,register my pllc in new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,Generic-ForeignQual,ENABLED,2546555910167,ENABLED,RARELY_SERVED,False,0,10000,foreign pllc registration new york,EXACT,APPROVED
03_ForeignQual_US,PAUSED,New-Jersey,ENABLED,2488974132462,ENABLED,RARELY_SERVED,False,0,10000,register nj pllc in new york,EXACT,APPROVED
