segments.date,segments.hour,campaign.name,campaign.status,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions,metrics.absolute_top_impression_percentage,metrics.top_impression_percentage
2026-04-13,10,Sales-Search-1,ENABLED,8,1,0.125,23020000.0,23020000,0.0,0.16666666666666666,1.0
2026-04-13,11,Sales-Search-1,ENABLED,16,2,0.125,16760000.0,33520000,0.0,0.07692307692307693,0.8461538461538461
2026-04-13,12,Sales-Search-1,ENABLED,15,1,0.06666666666666667,17885950.0,17885950,0.0,0.4,0.9
2026-04-13,13,Sales-Search-1,ENABLED,14,1,0.07142857142857142,19307708.0,19307708,0.0,0.2,0.7
2026-04-13,14,Sales-Search-1,ENABLED,20,4,0.2,14770491.5,59081966,0.0,0.1875,0.75
2026-04-13,15,Sales-Search-1,ENABLED,28,3,0.10714285714285714,7706666.666666667,23120000,0.0,0.25,0.7
2026-04-13,16,Sales-Search-1,ENABLED,21,2,0.09523809523809523,4895000.0,9790000,1.0,0.16666666666666666,0.9166666666666666
2026-04-13,17,Sales-Search-1,ENABLED,9,1,0.1111111111111111,15080000.0,15080000,0.0,0.0,0.875
2026-04-13,18,Sales-Search-1,ENABLED,9,0,0.0,0.0,0,0.0,0.3333333333333333,1.0
2026-04-13,19,Sales-Search-1,ENABLED,3,0,0.0,0.0,0,0.0,0.0,0.3333333333333333
2026-04-13,20,Sales-Search-1,ENABLED,9,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-13,21,Sales-Search-1,ENABLED,7,1,0.14285714285714285,14330000.0,14330000,1.0,0.16666666666666666,0.8333333333333334
2026-04-13,22,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,0.25,0.5
2026-04-13,23,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,0.0
2026-04-14,1,Sales-Search-1,ENABLED,3,0,0.0,0.0,0,0.0,0.5,1.0
2026-04-14,2,Sales-Search-1,ENABLED,2,0,0.0,0.0,0,0.0,1.0,1.0
2026-04-14,3,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-14,5,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-14,6,Sales-Search-1,ENABLED,3,0,0.0,0.0,0,0.0,0.0,0.5
2026-04-14,7,Sales-Search-1,ENABLED,10,0,0.0,0.0,0,0.0,0.16666666666666666,0.8333333333333334
2026-04-14,8,Sales-Search-1,ENABLED,8,0,0.0,0.0,0,0.0,0.16666666666666666,1.0
2026-04-14,9,Sales-Search-1,ENABLED,9,0,0.0,0.0,0,0.0,0.1111111111111111,0.8888888888888888
2026-04-14,10,Sales-Search-1,ENABLED,20,2,0.1,3725000.0,7450000,0.0,0.4166666666666667,0.8333333333333334
2026-04-14,11,Sales-Search-1,ENABLED,25,2,0.08,11928269.0,23856538,1.0,0.05,0.95
2026-04-14,12,Sales-Search-1,ENABLED,12,2,0.16666666666666666,9780000.0,19560000,0.0,0.25,1.0
2026-04-14,13,Sales-Search-1,ENABLED,18,1,0.05555555555555555,14170000.0,14170000,0.0,0.23076923076923078,0.7692307692307693
2026-04-14,14,Sales-Search-1,ENABLED,22,3,0.13636363636363635,18526918.666666668,55580756,1.0,0.29411764705882354,0.8823529411764706
2026-04-14,15,Sales-Search-1,ENABLED,17,2,0.11764705882352941,1840000.0,3680000,0.0,0.0,0.8333333333333334
