segments.date,campaign.name,campaign.status,ad_group.name,geographic_view.country_criterion_id,geographic_view.location_type,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions
2026-06-21,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,26,3,0.11538461538461539,13825455.333333334,41476366,0.0
2026-06-21,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,24,2,0.08333333333333333,11835000.0,23670000,0.0
2026-06-22,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,27,1,0.037037037037037035,4310000.0,4310000,0.0
2026-06-22,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,56,1,0.017857142857142856,2990000.0,2990000,0.0
2026-06-23,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,51,5,0.09803921568627451,8790000.0,43950000,0.0
2026-06-23,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,52,8,0.15384615384615385,11600490.5,92803924,3.0
2026-06-24,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,54,5,0.09259259259259259,8483886.4,42419432,0.0
2026-06-24,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,83,8,0.0963855421686747,9676250.0,77410000,1.0
2026-06-25,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,35,2,0.05714285714285714,21095000.0,42190000,0.0
2026-06-25,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,45,1,0.022222222222222223,10260000.0,10260000,0.0
2026-06-26,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,39,1,0.02564102564102564,6430000.0,6430000,0.0
2026-06-26,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,50,7,0.14,5780035.428571428,40460248,1.0
2026-06-27,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,7,0,0.0,0.0,0,0.0
2026-06-27,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,34,2,0.058823529411764705,7640000.0,15280000,0.0
2026-06-28,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,24,2,0.08333333333333333,14075000.0,28150000,1.0
2026-06-28,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,15,0,0.0,0.0,0,0.0
2026-06-29,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,57,8,0.14035087719298245,15074238.125,120593905,2.0
2026-06-29,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,90,6,0.06666666666666667,15781666.666666666,94690000,1.0
2026-06-30,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,50,3,0.06,9873333.333333334,29620000,0.0
2026-06-30,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,57,5,0.08771929824561403,7413024.4,37065122,0.5
2026-07-01,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,63,6,0.09523809523809523,9948333.333333334,59690000,0.0
2026-07-01,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,84,5,0.05952380952380952,6706000.0,33530000,0.5
2026-07-02,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,48,3,0.0625,14343333.333333334,43030000,1.0
2026-07-02,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,69,5,0.07246376811594203,11080000.0,55400000,0.0
2026-07-03,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,39,2,0.05128205128205128,2680000.0,5360000,0.0
2026-07-03,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,31,1,0.03225806451612903,4840000.0,4840000,0.0
2026-07-04,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,10,0,0.0,0.0,0,0.0
2026-07-04,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,26,1,0.038461538461538464,280000.0,280000,0.0
2026-07-05,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,30,3,0.1,6896666.666666667,20690000,0.0
2026-07-05,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,25,2,0.08,7625000.0,15250000,0.0
2026-07-06,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,61,2,0.03278688524590164,4040000.0,8080000,0.0
2026-07-06,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,72,9,0.125,5783977.333333333,52055796,0.0
2026-07-07,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,62,2,0.03225806451612903,9380000.0,18760000,0.0
2026-07-07,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,74,4,0.05405405405405406,4887190.25,19548761,0.0
2026-07-08,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,41,0,0.0,0.0,0,0.0
2026-07-08,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,47,2,0.0425531914893617,21695000.0,43390000,0.0
