campaign,ad_group,keyword,match_type,quality_score,search_predicted_ctr,creative_quality_score,post_click_quality_score,impressions,clicks,cost,conversions
Sales-Search-1,NY PLLC Formation,l.l.c,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,new york registered agent,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,forming a pllc,BROAD,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,nyc corporation,EXACT,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,forming a pllc,PHRASE,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,10,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,zenbusiness,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,professional corporation new york,PHRASE,1,BELOW_AVERAGE,BELOW_AVERAGE,BELOW_AVERAGE,7,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,publication requirement,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,c-corp,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,company registration in new york,EXACT,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,davis polk & wardwell llp new york,EXACT,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,ny registered agent,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,llc newspaper,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,pllc articles of organization,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,pllc online,EXACT,7,ABOVE_AVERAGE,AVERAGE,AVERAGE,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,pllc formation new york,PHRASE,8,AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,domestic professional limited liability company,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,top corporate law firms in new york city,EXACT,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,new york professional llc formation,PHRASE,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,pllc ein,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,form pllc,PHRASE,6,AVERAGE,AVERAGE,AVERAGE,6,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,how to start a pllc,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,pllc new york cost,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,cohn legal pllc,EXACT,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,ny pllc requirements,PHRASE,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,how to form a pllc in new york,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,massachusetts pllc requirements,EXACT,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,how to create a pllc in ny,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,how to form a pllc in ny,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,new york pllc requirements,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,pllc application ny,BROAD,4,BELOW_AVERAGE,AVERAGE,AVERAGE,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,the new york registered agent co,EXACT,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,authorization to do business in ny,EXACT,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,pllc formation in ny,PHRASE,8,AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,6,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,new york pllc requirements,PHRASE,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,get pllc,PHRASE,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,get a pllc,PHRASE,9,ABOVE_AVERAGE,AVERAGE,ABOVE_AVERAGE,2,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,nys pllc requirements,BROAD,,,,,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,pllc application ny,PHRASE,4,BELOW_AVERAGE,AVERAGE,AVERAGE,0,0,0.0,0.0
Sales-Search-1,NY PLLC Formation,nypllc,PHRASE,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,0,0,0.0,0.0
