segments.date,campaign.name,ad_group.name,ad_group_ad.ad.id,ad_group_ad.ad.type,ad_group_ad.ad.name,ad_group_ad.status,ad_group_ad.ad.final_urls,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions
2026-07-24,01_Core_Exact_NY,Service-Intent,816213581680,RESPONSIVE_SEARCH_AD,Service-Intent — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],1,1,1.0,3770000.0,3770000,0.0
2026-07-24,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],57,3,0.05263157894736842,5940000.0,17820000,0.0
2026-07-25,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],21,4,0.19047619047619047,8417500.0,33670000,0.0
2026-07-26,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],2,1,0.5,1760000.0,1760000,0.0
2026-07-26,01_Core_Exact_NY,Formation-Core,816286133015,RESPONSIVE_SEARCH_AD,Formation-Core — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],2,0,0.0,0.0,0,0.0
2026-07-26,01_Core_Exact_NY,Service-Intent,816286167770,RESPONSIVE_SEARCH_AD,Service-Intent — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],1,0,0.0,0.0,0,0.0
2026-07-26,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],12,1,0.08333333333333333,9130000.0,9130000,0.0
2026-07-27,01_Core_Exact_NY,Brand,816213511561,RESPONSIVE_SEARCH_AD,Brand — controlled,ENABLED,['https://www.nypllc.com/'],2,0,0.0,0.0,0,0.0
2026-07-27,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],1,1,1.0,970000.0,970000,0.0
2026-07-27,01_Core_Exact_NY,Formation-Core,816286133015,RESPONSIVE_SEARCH_AD,Formation-Core — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],9,2,0.2222222222222222,5539916.5,11079833,0.0
